Date,Hour,load,T
37987.00,1,,37.33
37987.00,2,,37.67
37987.00,3,,37
37987.00,4,,36.33
37987.00,5,,36
37987.00,6,,36
37987.00,7,,35.67
37987.00,8,,35.33
37987.00,9,,35.33
37987.00,10,,35.67
37987.00,11,,36
37987.00,12,,36.67
37987.00,13,,37.33
37987.00,14,,37
37987.00,15,,37.67
37987.00,16,,36.33
37987.00,17,,35
37987.00,18,,32.33
37987.00,19,,31.33
37987.00,20,,28.67
37987.00,21,,28
37987.00,22,,27.33
37987.00,23,,26
37987.00,24,,25.33
37988.00,1,,24.67
37988.00,2,,23.33
37988.00,3,,22.67
37988.00,4,,22
37988.00,5,,22
37988.00,6,,23.67
37988.00,7,,24.67
37988.00,8,,25.67
37988.00,9,,26.67
37988.00,10,,27
37988.00,11,,27.33
37988.00,12,,27.67
37988.00,13,,28.33
37988.00,14,,28.33
37988.00,15,,28.67
37988.00,16,,29.33
37988.00,17,,29.33
37988.00,18,,29.67
37988.00,19,,29.67
37988.00,20,,29.33
37988.00,21,,29
37988.00,22,,29
37988.00,23,,29.33
37988.00,24,,29.33
37989.00,1,,30.67
37989.00,2,,30.67
37989.00,3,,31
37989.00,4,,30.67
37989.00,5,,29.67
37989.00,6,,30.33
37989.00,7,,30.33
37989.00,8,,30.67
37989.00,9,,31.67
37989.00,10,,32.33
37989.00,11,,33.67
37989.00,12,,34
37989.00,13,,34.33
37989.00,14,,34.67
37989.00,15,,35.67
37989.00,16,,36
37989.00,17,,36.67
37989.00,18,,36.33
37989.00,19,,36.33
37989.00,20,,36.33
37989.00,21,,36.33
37989.00,22,,36.33
37989.00,23,,36
37989.00,24,,35.67
37990.00,1,,36
37990.00,2,,35.33
37990.00,3,,36.33
37990.00,4,,37.33
37990.00,5,,37.67
37990.00,6,,36.33
37990.00,7,,35.67
37990.00,8,,35.67
37990.00,9,,35.67
37990.00,10,,36
37990.00,11,,37
37990.00,12,,38.33
37990.00,13,,38
37990.00,14,,37.67
37990.00,15,,37.67
37990.00,16,,37.33
37990.00,17,,36.33
37990.00,18,,35.33
37990.00,19,,34.33
37990.00,20,,34
37990.00,21,,32.67
37990.00,22,,32.67
37990.00,23,,31.67
37990.00,24,,30.67
37991.00,1,,30.67
37991.00,2,,29.33
37991.00,3,,29
37991.00,4,,28.67
37991.00,5,,28
37991.00,6,,27.67
37991.00,7,,27.33
37991.00,8,,27.33
37991.00,9,,27
37991.00,10,,27.33
37991.00,11,,26.67
37991.00,12,,26.67
37991.00,13,,26.33
37991.00,14,,26.67
37991.00,15,,26
37991.00,16,,26
37991.00,17,,25.33
37991.00,18,,25.33
37991.00,19,,25
37991.00,20,,24.33
37991.00,21,,24
37991.00,22,,24.33
37991.00,23,,24
37991.00,24,,24
37992.00,1,,24
37992.00,2,,24.67
37992.00,3,,24.67
37992.00,4,,24
37992.00,5,,24
37992.00,6,,24
37992.00,7,,23
37992.00,8,,22.67
37992.00,9,,22.33
37992.00,10,,22.67
37992.00,11,,26
37992.00,12,,27.67
37992.00,13,,29
37992.00,14,,30.33
37992.00,15,,31
37992.00,16,,30.67
37992.00,17,,28.33
37992.00,18,,26.67
37992.00,19,,25.67
37992.00,20,,23.67
37992.00,21,,22.67
37992.00,22,,21.67
37992.00,23,,20.33
37992.00,24,,19.67
37993.00,1,,18.67
37993.00,2,,17
37993.00,3,,15.67
37993.00,4,,14.67
37993.00,5,,13.67
37993.00,6,,13.67
37993.00,7,,11.67
37993.00,8,,11.67
37993.00,9,,13.33
37993.00,10,,14.67
37993.00,11,,16.33
37993.00,12,,17.67
37993.00,13,,18.33
37993.00,14,,18.33
37993.00,15,,18.33
37993.00,16,,18.67
37993.00,17,,17.33
37993.00,18,,16
37993.00,19,,16
37993.00,20,,15.33
37993.00,21,,14.67
37993.00,22,,13.33
37993.00,23,,11.67
37993.00,24,,9.67
37994.00,1,,8.67
37994.00,2,,6
37994.00,3,,4.33
37994.00,4,,2.33
37994.00,5,,1
37994.00,6,,0.33
37994.00,7,,-1
37994.00,8,,-1.67
37994.00,9,,-2.33
37994.00,10,,-1.33
37994.00,11,,0.33
37994.00,12,,2.67
37994.00,13,,3.67
37994.00,14,,5.67
37994.00,15,,6
37994.00,16,,6.33
37994.00,17,,5.33
37994.00,18,,3.33
37994.00,19,,2
37994.00,20,,0.67
37994.00,21,,-0.67
37994.00,22,,-1.67
37994.00,23,,-2.33
37994.00,24,,-2.67
37995.00,1,,-3.67
37995.00,2,,-5.33
37995.00,3,,-5.67
37995.00,4,,-6.33
